Region,m_sku_desc,Actual_Tons,Predicted_Tons,Algorithm,MAPE,WMAPE,Error,Model_Index,ProcessID
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.412,1.3995827807571566,Arima,0.20198336151082566,0.24204707484856708,0.012417219242843336,"0,0",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.508,1.5451707794793907,Arima,0.20198336151082566,0.24204707484856708,-0.037170779479390736,"0,0",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.5519999999999998,1.292017533996547,Arima,0.20198336151082566,0.24204707484856708,0.2599824660034529,"0,0",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.228,1.2144021298614753,Arima,0.20198336151082566,0.24204707484856708,0.013597870138524648,"0,0",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.501,1.077975737388058,Arima,0.20198336151082566,0.24204707484856708,0.4230242626119418,"0,0",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,2.459,1.2809062612244548,Arima,0.20198336151082566,0.24204707484856708,1.1780937387755452,"0,0",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.3530000000000002,1.2196510601009436,Arima,0.20198336151082566,0.24204707484856708,0.1333489398990566,"0,0",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.344,1.2287263465565816,Arima,0.20198336151082566,0.24204707484856708,0.11527365344341844,"0,0",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,2.1830000000000003,1.0307443167312162,Arima,0.20198336151082566,0.24204707484856708,1.152255683268784,"0,0",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,2.154,1.1543545933179507,Arima,0.20198336151082566,0.24204707484856708,0.9996454066820493,"0,0",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.2,1.107023348235159,Arima,0.20198336151082566,0.24204707484856708,0.09297665176484093,"0,0",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.874,1.237475094370112,Arima,0.20198336151082566,0.24204707484856708,0.6365249056298881,"0,0",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.476,1.3882635188567782,Arima,0.20198336151082566,0.24204707484856708,0.08773648114322175,"0,0",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,3.83,6.77144410320072,Arima,1.843765595588737,0.39569247438424565,-2.9414441032007197,"0,1",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,7.535,6.683674769219202,Arima,1.843765595588737,0.39569247438424565,0.8513252307807981,"0,1",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,10.317,6.479076091141056,Arima,1.843765595588737,0.39569247438424565,3.8379239088589445,"0,1",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,5.816,7.0436481828879325,Arima,1.843765595588737,0.39569247438424565,-1.2276481828879326,"0,1",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,6.497000000000001,5.578924000627454,Arima,1.843765595588737,0.39569247438424565,0.9180759993725465,"0,1",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,6.2589999999999995,4.597294863613334,Arima,1.843765595588737,0.39569247438424565,1.661705136386665,"0,1",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,4.822,5.6008724898560835,Arima,1.843765595588737,0.39569247438424565,-0.7788724898560835,"0,1",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,6.154,6.564360859689047,Arima,1.843765595588737,0.39569247438424565,-0.4103608596890469,"0,1",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,6.406000000000001,5.924697322541675,Arima,1.843765595588737,0.39569247438424565,0.48130267745832533,"0,1",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,-0.262,4.8131447595660966,Arima,1.843765595588737,0.39569247438424565,-5.075144759566097,"0,1",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,2.667,5.181468931461617,Arima,1.843765595588737,0.39569247438424565,-2.514468931461617,"0,1",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,3.1010000000000004,6.119815745648746,Arima,1.843765595588737,0.39569247438424565,-3.018815745648746,"0,1",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,11.322000000000001,5.574243612619055,Arima,1.843765595588737,0.39569247438424565,5.747756387380946,"0,1",1
PESHAWAR,SURF EXCEL HS STD POWDER B02 180X45G,20.885,0.008817226869588524,Arima,1.1250860611781808,1.140957172536816,20.876182773130413,"0,2",1
PESHAWAR,SURF EXCEL HS STD POWDER B02 180X45G,6.446000000000001,8.892880708227931,Arima,1.1250860611781808,1.140957172536816,-2.4468807082279307,"0,2",1
PESHAWAR,SURF EXCEL HS STD POWDER B02 180X45G,21.59,2.9575851204081967,Arima,1.1250860611781808,1.140957172536816,18.632414879591803,"0,2",1
PESHAWAR,SURF EXCEL HS STD POWDER B02 180X45G,12.767000000000001,-1.7887575086047134,Arima,1.1250860611781808,1.140957172536816,14.555757508604714,"0,2",1
PESHAWAR,SURF EXCEL HS STD POWDER B02 180X45G,21.64,-4.868973842494169,Arima,1.1250860611781808,1.140957172536816,26.50897384249417,"0,2",1
