ProcessID,Process_Init_Date,Process_Init_Time,SKU,Demography_ID,Models,Forecasting_StartDate,Forecasting_EndDate,VariableListID,ParameterID,ThresID
1,01-Jan,12:00:00 am,KNORR BLOCK NOODLES CHATPATA 18X264G,1,ARIMA,04/01/2019,04/30/2019,2,1,1
2,01-Jan,12:00:00 am,KNORR BLOCK NOODLES CHATPATA 18X264G,1,Lasso,04/01/2019,04/30/2019,1,2,1
3,01-Jan,12:00:00 am,KNORR BLOCK NOODLES CHATPATA 18X264G,1,RandomForest,04/01/2019,04/30/2019,1,3,1
4,01-Jan,12:00:00 am,KNORR BLOCK NOODLES CHATPATA 18X264G,1,GradientBoosting,04/01/2019,04/30/2019,1,4,1
5,01-Jan,12:00:00 am,KNORR BLOCK NOODLES CHATPATA 18X264G,1,Prophet,04/01/2019,04/30/2019,2,5,1
6,01-Jan,12:00:00 am,PONDS FOAM WHT BEAUTY 4x6x100g,2,Lasso,04/01/2019,04/30/2019,1,2,1
7,01-Jan,12:00:00 am,PONDS FOAM WHT BEAUTY 4x6x100g,2,RandomForest,04/01/2019,04/30/2019,1,3,1
8,01-Jan,12:00:00 am,PONDS FOAM WHT BEAUTY 4x6x100g,2,GradientBoosting,04/01/2019,04/30/2019,1,4,1
