Region,m_sku_desc,Algorithm,Model_Index,ProcessID
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,Arima,"0,0",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,Arima,"0,1",1
PESHAWAR,SURF EXCEL HS STD POWDER B02 180X45G,Arima,"0,2",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,Lasso,"0,0",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,Lasso,"0,1",1
PESHAWAR,SURF EXCEL HS STD POWDER B02 180X45G,Lasso,"0,2",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,GradientBoosting,"0,0",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,GradientBoosting,"0,1",1
PESHAWAR,SURF EXCEL HS STD POWDER B02 180X45G,GradientBoosting,"0,2",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,RandomForest,"0,0",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,RandomForest,"0,1",1
PESHAWAR,SURF EXCEL HS STD POWDER B02 180X45G,RandomForest,"0,2",1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,Prophet,"0,0",1
PESHAWAR,LIPTON YELLOW LABEL BLCK TP A05 12X950G,Prophet,"0,1",1
PESHAWAR,SURF EXCEL HS STD POWDER B02 180X45G,Prophet,"0,2",1
