YEAR_c,WEEK_c,Region,m_sku_desc,Actual_Tons,Predicted_Tons,Algorithm,MAPE,WMAPE,Error,Model_Index,ProcessID,Champion,Rank
2019,3,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.5519999999999998,1.4206100000000004,RandomForest,0.1667678052439491,0.17903502165317256,0.13138999999999945,"0,0",1,Champion,1
2019,4,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.228,1.38241,RandomForest,0.1667678052439491,0.17903502165317256,-0.15440999999999994,"0,0",1,Champion,1
2019,5,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.501,1.542009999999999,RandomForest,0.1667678052439491,0.17903502165317256,-0.0410099999999991,"0,0",1,Champion,1
2019,6,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,2.459,1.3792900000000001,RandomForest,0.1667678052439491,0.17903502165317256,1.07971,"0,0",1,Champion,1
2019,7,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.3530000000000002,1.76536,RandomForest,0.1667678052439491,0.17903502165317256,-0.41235999999999984,"0,0",1,Champion,1
2019,8,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.344,1.5468700000000004,RandomForest,0.1667678052439491,0.17903502165317256,-0.20287000000000033,"0,0",1,Champion,1
2019,9,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,2.1830000000000003,1.60243,RandomForest,0.1667678052439491,0.17903502165317256,0.5805700000000003,"0,0",1,Champion,1
2019,11,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,2.154,1.8046000000000006,RandomForest,0.1667678052439491,0.17903502165317256,0.34939999999999927,"0,0",1,Champion,1
2019,12,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.2,1.4731099999999993,RandomForest,0.1667678052439491,0.17903502165317256,-0.2731099999999993,"0,0",1,Champion,1
2019,13,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.874,1.7663999999999993,RandomForest,0.1667678052439491,0.17903502165317256,0.1076000000000008,"0,0",1,Champion,1
2019,10,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,1.476,1.7788599999999994,RandomForest,0.1667678052439491,0.17903502165317256,-0.30285999999999946,"0,0",1,Champion,1
